effort_id,gender,age,is_angler,fishing_days
1,Male,71,FALSE,0
2,Male,27,FALSE,0
3,Male,68,FALSE,0
4,Female,91,TRUE,18
5,Female,80,FALSE,0
6,Female,23,FALSE,0
7,Male,93,TRUE,30
8,Male,36,FALSE,0
9,Male,52,FALSE,0
10,Female,54,FALSE,0
11,Male,96,FALSE,0
12,Male,42,FALSE,0
13,Female,68,FALSE,0
14,Male,91,TRUE,30
15,Male,19,FALSE,0
16,Female,27,FALSE,0
17,Female,48,FALSE,0
18,Male,63,FALSE,0
19,Female,85,FALSE,0
20,Male,26,FALSE,0
21,Female,92,FALSE,0
22,Male,71,FALSE,0
23,Female,73,FALSE,0
24,Female,70,FALSE,0
25,Male,91,FALSE,0
26,Male,99,FALSE,0
27,Male,91,FALSE,0
28,Male,93,TRUE,34
29,Female,17,FALSE,0
30,Female,43,FALSE,0
31,Male,52,FALSE,0
32,Female,50,FALSE,0
33,Female,88,FALSE,0
34,Male,69,FALSE,0
35,Female,53,FALSE,0
36,Male,96,FALSE,0
37,Female,40,FALSE,0
38,Male,59,FALSE,0
39,Male,36,FALSE,0
40,Male,35,FALSE,0
41,Female,16,FALSE,0
42,Female,92,FALSE,0
43,Male,51,FALSE,0
44,Male,90,TRUE,44
45,Male,81,FALSE,0
46,Male,38,FALSE,0
47,Female,93,FALSE,0
48,Female,88,FALSE,0
49,Male,71,FALSE,0
50,Female,74,FALSE,0
51,Male,40,FALSE,0
52,Male,20,FALSE,0
53,Female,87,TRUE,29
54,Female,26,FALSE,0
55,Female,81,FALSE,0
56,Female,60,FALSE,0
57,Female,87,FALSE,0
58,Female,59,FALSE,0
59,Male,55,FALSE,0
60,Male,84,TRUE,37
61,Male,86,FALSE,0
62,Male,47,FALSE,0
63,Male,19,FALSE,0
64,Female,54,FALSE,0
65,Female,35,FALSE,0
66,Male,28,FALSE,0
67,Female,51,FALSE,0
68,Female,59,FALSE,0
69,Male,29,FALSE,0
70,Male,46,FALSE,0
71,Male,81,FALSE,0
72,Male,19,FALSE,0
73,Female,93,FALSE,0
74,Female,51,FALSE,0
75,Female,96,TRUE,17
76,Female,76,FALSE,0
77,Male,97,FALSE,0
78,Male,95,TRUE,32
79,Female,81,FALSE,0
80,Male,58,FALSE,0
81,Female,77,FALSE,0
82,Female,33,FALSE,0
83,Female,46,FALSE,0
84,Male,26,FALSE,0
85,Male,32,FALSE,0
86,Female,98,FALSE,0
87,Male,72,FALSE,0
88,Male,44,FALSE,0
89,Female,35,FALSE,0
90,Male,21,FALSE,0
91,Female,44,FALSE,0
92,Female,41,FALSE,0
93,Female,17,FALSE,0
94,Female,79,FALSE,0
95,Female,81,FALSE,0
96,Female,41,FALSE,0
97,Male,78,FALSE,0
98,Female,16,FALSE,0
99,Female,80,FALSE,0
100,Male,59,FALSE,0
101,Male,58,FALSE,0
102,Female,45,FALSE,0
103,Female,53,FALSE,0
104,Female,44,FALSE,0
105,Male,30,FALSE,0
106,Male,97,TRUE,30
107,Male,51,FALSE,0
108,Female,54,FALSE,0
109,Male,78,FALSE,0
110,Female,64,FALSE,0
111,Female,33,FALSE,0
112,Male,37,FALSE,0
113,Female,37,FALSE,0
114,Female,42,FALSE,0
115,Female,22,FALSE,0
116,Male,52,FALSE,0
117,Female,45,FALSE,0
118,Female,64,FALSE,0
119,Female,85,TRUE,19
120,Female,27,FALSE,0
121,Male,36,FALSE,0
122,Female,39,FALSE,0
123,Male,80,TRUE,36
124,Female,66,FALSE,0
125,Female,84,FALSE,0
126,Male,87,TRUE,37
127,Female,52,FALSE,0
128,Female,79,FALSE,0
129,Female,39,FALSE,0
130,Male,46,FALSE,0
131,Male,56,FALSE,0
132,Male,41,FALSE,0
133,Female,79,FALSE,0
134,Female,78,FALSE,0
135,Male,53,FALSE,0
136,Female,21,FALSE,0
137,Female,16,FALSE,0
138,Male,62,FALSE,0
139,Female,90,FALSE,0
140,Female,56,FALSE,0
141,Male,42,FALSE,0
142,Male,24,FALSE,0
143,Male,24,FALSE,0
144,Male,36,FALSE,0
145,Male,76,FALSE,0
146,Male,94,FALSE,0
147,Female,95,TRUE,23
148,Female,75,FALSE,0
149,Female,23,FALSE,0
